,Papel,Cotação
7,SYNE3.SA,4.89
4,TASA4.SA,16.36
14,GOAU4.SA,10.77
2,UNIP3.SA,88.99
13,GGBR3.SA,20.64
8,AURA33.SA,33.9
12,GGBR4.SA,25.15
1,UNIP6.SA,100.6
11,VALE3.SA,74.0
19,BRKM5.SA,27.47
5,FESA4.SA,55.06
27,USIM5.SA,7.72
25,FHER3.SA,14.12
28,USIM3.SA,8.44
24,ETER3.SA,13.24
31,CSNA3.SA,13.25
6,KEPL3.SA,22.11
20,PLPL3.SA,4.34
48,LVTC3.SA,6.53
21,CMIN3.SA,3.5
37,DEXP3.SA,6.3
34,JBSS3.SA,25.76
22,RANI3.SA,8.27
23,AGRO3.SA,30.56
26,LEVE3.SA,24.2
29,PTBL3.SA,11.54
35,CCRO3.SA,13.17
36,QUAL3.SA,9.01
44,SLCE3.SA,43.56
30,BEEF3.SA,12.89
