Ticker,Price
UNM,41.2
MPC,105.81
ALB,274.52
HRB,40.65
NLSN,29.14
LW,79.35
REGN,761.58
FTI,9.19
VRTX,299.82
ORLY,722.36
CAH,70.76
MTB,186.83
LLY,322.58
GIS,80.58
BIIB,276.8
CI,300.3
HUM,510.93
GPC,159.79
COP,113.89
SJM,146.29
AZO,2242.2
PFG,79.2
HII,229.96
HSY,233.47
MCK,348.2
IEX,212.08
CDNS,176.47
CTXS,109.0
LVS,40.2
RSG,143.6
TJX,65.4
GL,104.02
NOC,499.04
ADP,239.34
DG,248.73
ULTA,408.47
KEYS,163.52
UNH,530.06
CVS,101.92
WM,172.99
VLO,117.83
PCAR,88.73
CTVA,60.22
CPB,49.17
RJF,103.9
CBOE,123.38
